base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
BUTTHOLE,USDC,USDC,USDT,BUTTHOLE,USDT,0.010000,
C,USDC,USDC,USDT,C,USDT,0.000000,spot/market/price not ok
CAKE,USDC,USDC,USDT,CAKE,USDT,0.000000,spot/market/price not ok
CAMP,USDC,USDC,USDT,CAMP,USDT,0.000000,spot/market/price not ok
CAW,USDC,USDC,USDT,CAW,USDT,0.000000,spot/market/price not ok
CC,USDC,USDC,USDT,CC,USDT,0.000000,spot/market/price not ok
CFX,USDC,USDC,USDT,CFX,USDT,0.000000,spot/market/price not ok
CGN,USDC,USDC,USDT,CGN,USDT,0.000000,spot/market/price not ok
CGPT,USDC,USDC,USDT,CGPT,USDT,0.010000,
CHZ,USDC,USDC,USDT,CHZ,USDT,0.010000,
COTI,USDC,USDC,USDT,COTI,USDT,0.000000,spot/market/price not ok
CRV,USDC,USDC,USDT,CRV,USDT,0.000000,spot/market/price not ok
CRV,ETH,ETH,USDC,CRV,USDC,0.000000,spot/market/price not ok
CRV,ETH,ETH,USDT,CRV,USDT,0.000000,spot/market/price not ok
DASH,USDC,USDC,USDT,DASH,USDT,0.000000,spot/market/price not ok
DOGE,EUR,EUR,USDT,DOGE,USDT,0.000000,spot/market/price not ok
DOGE,EUR,EUR,USDC,DOGE,USDC,0.000000,spot/market/price not ok
DOGE,USDC,USDC,USDT,DOGE,USDT,0.000000,spot/market/price not ok
DOGE,USDE,USDE,USDT,DOGE,USDT,0.000000,spot/market/price not ok
DOGS,USDC,USDC,USDT,DOGS,USDT,0.000000,spot/market/price not ok
DOLO,USDC,USDC,USDT,DOLO,USDT,0.000000,spot/market/price not ok
DOOD,USDC,USDC,USDT,DOOD,USDT,0.000000,spot/market/price not ok
DOT,USDC,USDC,USDT,DOT,USDT,0.000000,spot/market/price not ok
DSYNC,USDC,USDC,USDT,DSYNC,USDT,0.010000,
EGLD,USDC,USDC,USDT,EGLD,USDT,0.000000,spot/market/price not ok
EIGEN,USDC,USDC,USDT,EIGEN,USDT,0.000000,spot/market/price not ok
ELDE,USDC,USDC,USDT,ELDE,USDT,0.000000,missing rules for one of symbols
ENA,USDC,USDC,USDT,ENA,USDT,0.010000,
ENA,USDE,USDE,USDT,ENA,USDT,0.000000,spot/market/price not ok
ENS,USDC,USDC,USDT,ENS,USDT,0.000000,spot/market/price not ok
EPT,USDC,USDC,USDT,EPT,USDT,0.000000,spot/market/price not ok
ERA,USDC,USDC,USDT,ERA,USDT,0.000000,spot/market/price not ok
ES,USDC,USDC,USDT,ES,USDT,0.000000,spot/market/price not ok
ETC,USDC,USDC,USDT,ETC,USDT,0.000000,spot/market/price not ok
IP,ETH,IP,USDC,ETH,USDC,0.000000,spot/market/price not ok
