A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,BTC,DEXE,BUY BTC/USDT,0.00000001,0.00000001,0,BUY DEXE/BTC,0.01,0.01,0,SELL DEXE/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,DEXEBTC,BUY,DEXE,BTC,0.01,0,0,0.01,0,0,DEXEUSDT,SELL,DEXE,USDT,0.01,0,0,0.01,0,0
USDT,BTC,QTUM,BUY BTC/USDT,0.00000001,0.00000001,0,BUY QTUM/BTC,0.001,0.001,0,SELL QTUM/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,QTUMBTC,BUY,QTUM,BTC,0.001,0,0,0.001,0,0,QTUMUSDT,SELL,QTUM,USDT,0.01,0,0,0.01,0,0
USDT,BTC,OMG,BUY BTC/USDT,0.00000001,0.00000001,0,BUY OMG/BTC,0.01,0.01,0,SELL OMG/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,OMGBTC,BUY,OMG,BTC,0.01,0,0,0.01,0,0,OMGUSDT,SELL,OMG,USDT,0.01,0,0,0.01,0,0
USDT,BTC,XLM,BUY BTC/USDT,0.00000001,0.00000001,0,BUY XLM/BTC,0.001,0.001,0,SELL XLM/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,XLMBTC,BUY,XLM,BTC,0.001,0,0,0.001,0,0,XLMUSDT,SELL,XLM,USDT,0.01,0,0,0.01,0,0
USDT,BTC,EUR,BUY BTC/USDT,0.00000001,0.00000001,0,SELL BTC/EUR,0.00001,0.00001,0,SELL EUR/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,BTCEUR,SELL,BTC,EUR,0.00001,0,0,0.00001,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,BTC,ADA,BUY BTC/USDT,0.00000001,0.00000001,0,BUY ADA/BTC,0.001,0.001,0,SELL ADA/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,ADABTC,BUY,ADA,BTC,0.001,0,0,0.001,0,0,ADAUSDT,SELL,ADA,USDT,0.01,0,0,0.01,0,0
USDT,BTC,ATOM,BUY BTC/USDT,0.00000001,0.00000001,0,BUY ATOM/BTC,0.01,0.01,0,SELL ATOM/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,ATOMBTC,BUY,ATOM,BTC,0.01,0,0,0.01,0,0,ATOMUSDT,SELL,ATOM,USDT,0.01,0,0,0.01,0,0
USDT,BTC,BADGER,BUY BTC/USDT,0.00000001,0.00000001,0,BUY BADGER/BTC,0.01,0.01,0,SELL BADGER/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,BADGERBTC,BUY,BADGER,BTC,0.01,0,0,0.01,0,0,BADGERUSDT,SELL,BADGER,USDT,0.01,0,0,0.01,0,0
USDT,BTC,ETC,BUY BTC/USDT,0.00000001,0.00000001,0,BUY ETC/BTC,0.01,0.01,0,SELL ETC/USDT,0.001,0.001,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,ETCBTC,BUY,ETC,BTC,0.01,0,0,0.01,0,0,ETCUSDT,SELL,ETC,USDT,0.001,0,0,0.001,0,0
USDT,BTC,A,BUY BTC/USDT,0.00000001,0.00000001,0,BUY A/BTC,1,1,0,SELL A/USDT,0.01,0.01,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,ABTC,BUY,A,BTC,1,0,0,1,0,0,AUSDT,SELL,A,USDT,0.01,0,0,0.01,0,0
USDT,BTC,LTC,BUY BTC/USDT,0.00000001,0.00000001,0,BUY LTC/BTC,0.001,0.001,0,SELL LTC/USDT,0.0001,0.0001,0,BTCUSDT,BUY,BTC,USDT,0.00000001,0,0,0.00000001,0,0,LTCBTC,BUY,LTC,BTC,0.001,0,0,0.001,0,0,LTCUSDT,SELL,LTC,USDT,0.0001,0,0,0.0001,0,0
USDT,EUR,WIF,BUY EUR/USDT,0.01,0.01,0,BUY WIF/EUR,0.01,0.01,0,SELL WIF/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,WIFEUR,BUY,WIF,EUR,0.01,0,0,0.01,0,0,WIFUSDT,SELL,WIF,USDT,0.01,0,0,0.01,0,0
USDT,EUR,TON,BUY EUR/USDT,0.01,0.01,0,BUY TON/EUR,0.01,0.01,0,SELL TON/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,TONEUR,BUY,TON,EUR,0.01,0,0,0.01,0,0,TONUSDT,SELL,TON,USDT,0.01,0,0,0.01,0,0
USDT,EUR,DOGE,BUY EUR/USDT,0.01,0.01,0,BUY DOGE/EUR,0.01,0.01,0,SELL DOGE/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,DOGEEUR,BUY,DOGE,EUR,0.01,0,0,0.01,0,0,DOGEUSDT,SELL,DOGE,USDT,0.01,0,0,0.01,0,0
USDT,EUR,GOLD(XAUT),BUY EUR/USDT,0.01,0.01,0,BUY GOLD(XAUT)/EUR,0.00001,0.00001,0,SELL GOLD(XAUT)/USDT,0.00001,0.00001,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,GOLD(XAUT)EUR,BUY,GOLD(XAUT),EUR,0.00001,0,0,0.00001,0,0,GOLD(XAUT)USDT,SELL,GOLD(XAUT),USDT,0.00001,0,0,0.00001,0,0
USDT,EUR,AVAX,BUY EUR/USDT,0.01,0.01,0,BUY AVAX/EUR,0.01,0.01,0,SELL AVAX/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,AVAXEUR,BUY,AVAX,EUR,0.01,0,0,0.01,0,0,AVAXUSDT,SELL,AVAX,USDT,0.01,0,0,0.01,0,0
USDT,EUR,SUI,BUY EUR/USDT,0.01,0.01,0,BUY SUI/EUR,0.01,0.01,0,SELL SUI/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,SUIEUR,BUY,SUI,EUR,0.01,0,0,0.01,0,0,SUIUSDT,SELL,SUI,USDT,0.01,0,0,0.01,0,0
USDT,EUR,TAO,BUY EUR/USDT,0.01,0.01,0,BUY TAO/EUR,0.01,0.01,0,SELL TAO/USDT,0.001,0.001,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,TAOEUR,BUY,TAO,EUR,0.01,0,0,0.01,0,0,TAOUSDT,SELL,TAO,USDT,0.001,0,0,0.001,0,0
USDT,EUR,PI,BUY EUR/USDT,0.01,0.01,0,BUY PI/EUR,0.01,0.01,0,SELL PI/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,PIEUR,BUY,PI,EUR,0.01,0,0,0.01,0,0,PIUSDT,SELL,PI,USDT,0.01,0,0,0.01,0,0
USDT,EUR,LTC,BUY EUR/USDT,0.01,0.01,0,BUY LTC/EUR,0.0001,0.0001,0,SELL LTC/USDT,0.0001,0.0001,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,LTCEUR,BUY,LTC,EUR,0.0001,0,0,0.0001,0,0,LTCUSDT,SELL,LTC,USDT,0.0001,0,0,0.0001,0,0
USDT,EUR,ULTIMA,BUY EUR/USDT,0.01,0.01,0,BUY ULTIMA/EUR,0.0001,0.0001,0,SELL ULTIMA/USDT,0.0001,0.0001,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,ULTIMAEUR,BUY,ULTIMA,EUR,0.0001,0,0,0.0001,0,0,ULTIMAUSDT,SELL,ULTIMA,USDT,0.0001,0,0,0.0001,0,0
USDT,EUR,ADA,BUY EUR/USDT,0.01,0.01,0,BUY ADA/EUR,0.01,0.01,0,SELL ADA/USDT,0.01,0.01,0,EURUSDT,BUY,EUR,USDT,0.01,0,0,0.01,0,0,ADAEUR,BUY,ADA,EUR,0.01,0,0,0.01,0,0,ADAUSDT,SELL,ADA,USDT,0.01,0,0,0.01,0,0
